fsq_id,name,popularity,price,rating,total_photos,total_ratings,total_tips
51fecfa2498e27c58533c281,Faubourg,0.9347067039106144,3.0,7.2,279.0,148.0,43.0
4aa8060af964a520d04e20e3,Bellaggio Cafe,0.9537748292985724,2.0,7.0,113.0,89.0,27.0
4de3ef4dcc3fa786ac832554,Roaming Dragon,0.8339928615766604,1.0,6.5,34.0,22.0,14.0
4bf5a90192d19521859f591f,Radar Area,0.015828677839851,3.0,,,,
61f061d4c27046306da74f80,Bacchus Restaurant & Lounge,0.825612973308504,,,,,
5cf2f6b2fb8e59002c11ca57,Basil Box,0.9175589695841092,2.0,,,,
4bec9a750ddaa59307cd1dc3,Hot Dog Stand,0.4459962756052141,1.0,,,,
c458f4b2abdd47ad02d43d1c,Roaming Dragon,,,,,,
6ae381607b15403e86981180,Bayer's Cappucino Bar,,,,,,
1a70e7b87cdc45f2f62ec673,Subway,,,,,,
9a811ef83f9441477a0f83ab,Death by Chocolate,,,,,,
e7596dd228944f15ac7ea896,Sandwich Tree,,,,,,
4b8f0753f964a5207a4533e3,Ginger Sushi,0.9198479205462444,2.0,8.2,15.0,13.0,3.0
5ad42c24345cbe490eba23b1,Sopra Sotto Pizzeria,0.983143234016139,2.0,7.7,13.0,8.0,2.0
4abd7b62f964a520958a20e3,Dolce Amore,0.9880702979515829,1.0,8.7,47.0,98.0,18.0
4f89dbf9e4b0af4d4e524dbb,Tatsu Japanese Bistro,0.8695103972687771,2.0,7.5,84.0,61.0,18.0
4aa6ba15f964a520d44a20e3,Vera's on the Drive,0.864699720670391,2.0,6.9,9.0,9.0,6.0
4aad5edcf964a520f15f20e3,Marcello Ristorante & Pizzeria,0.9663252638112974,2.0,7.3,115.0,74.0,26.0
4fa33d77e4b0ad74eb4a7533,The Dime,0.952610955927995,2.0,7.1,66.0,66.0,19.0
4ab69af4f964a5201a7820e3,Sake Maki,0.8384155803848541,2.0,6.9,17.0,23.0,14.0
4aab1084f964a520c75820e3,The Charlatan,0.963221601489758,2.0,6.4,80.0,63.0,22.0
606b7d432ec75a04d0601e2f,Merci Beaucoup Cafe,0.9459768777157044,2.0,,,,
62840fd09850162b791dfdb7,Cozen,0.9374612042209808,2.0,,,,
4ee0175d9a52e7f5b892680b,Pasture to Plate,0.9120111731843576,,,,,
5ceddc19b3d8e2002c05916a,Harbour Oyster + Bar,0.9492745189323402,3.0,,,,
4b722a80f964a52020722de3,Arriva Ristorante Ltd,0.9244646182495344,3.0,,,,
5e3e360cb882400008faa264,Bar Corso,0.9009931719428926,3.0,,,,
62243f18afa47f6c34b33031,Hanai,0.8857852265673495,,,,,
5bea4dc33b8307002c18c02d,Ugly Dumpling,0.8007836747361887,1.0,,,,
