id,station_id
deJiY5QyxKHe1IL4UZrH6Q,ac3b8198f03754a0afb8b6ed6d220cdd
MILJRoy07iy0bZUnR0G_jg,ac3b8198f03754a0afb8b6ed6d220cdd
wnNRw7Uo6LVlZxCBYDJnLw,ac3b8198f03754a0afb8b6ed6d220cdd
LtAYiTJQIQXA2bxTpHZBJQ,ac3b8198f03754a0afb8b6ed6d220cdd
YVVXdCm8GYmRpy13WkDKTA,ac3b8198f03754a0afb8b6ed6d220cdd
WWTTonzyOSAs4bIlGxux3Q,ac3b8198f03754a0afb8b6ed6d220cdd
bgzFQZFIItkDGTVj9pFwRA,ac3b8198f03754a0afb8b6ed6d220cdd
5DHwjdoJPV8i8IFoqzT-SA,ac3b8198f03754a0afb8b6ed6d220cdd
FkO87g41cGwRWbVneVb2Iw,ac3b8198f03754a0afb8b6ed6d220cdd
p7fplGQcl_LKK2dWgiWAEw,ac3b8198f03754a0afb8b6ed6d220cdd
vcgPf-1LtL7rIWbdwDfhYQ,ac3b8198f03754a0afb8b6ed6d220cdd
KJ0Ao8jHxf7SJXUToPeIGQ,ac3b8198f03754a0afb8b6ed6d220cdd
HwdvolydGGGqQSpheBrNsA,ac3b8198f03754a0afb8b6ed6d220cdd
Y0gFX8lk1vOfmc2OYnjsBA,ac3b8198f03754a0afb8b6ed6d220cdd
kzxedaXoGWb4u4fnmjWBdQ,029a505bd4422a1afd127987757f71a6
1RCJNQnqpTZjNn2YbWn4-Q,029a505bd4422a1afd127987757f71a6
w-hfHmpgdu6ocjelPIvZqw,029a505bd4422a1afd127987757f71a6
oHRYpXS_FSG8JO5z8Bvm8Q,0459b7e93703980b853cd65a9dc60596
nV-MkqGnkH1fyxuVCs5Jpw,0b543fc4e694fe07a54dac48bb1b3390
2vXKCM4qvVhCiYuCjOSMEw,0b543fc4e694fe07a54dac48bb1b3390
HrmXBx51bAXftEMAJy0iew,0b543fc4e694fe07a54dac48bb1b3390
AF3GkHlS48ra00-LCi_ojA,0b543fc4e694fe07a54dac48bb1b3390
_foBmwAL0w5qIEaUwWcmtQ,0b543fc4e694fe07a54dac48bb1b3390
AcEBuSwoXHdtobr-LiRRQg,0b543fc4e694fe07a54dac48bb1b3390
gdUW6MpgUUzbQnhPA_9qdA,0b543fc4e694fe07a54dac48bb1b3390
Ssow1Z1RC9VT3u6qSmW-eA,0b543fc4e694fe07a54dac48bb1b3390
n7cBSlfu_utOVK3QZCCWrQ,0b543fc4e694fe07a54dac48bb1b3390
HUrvINmrype_IcCX8N_AnA,0b543fc4e694fe07a54dac48bb1b3390
TWVg8wyzqqLwVUXRsku1lA,0b543fc4e694fe07a54dac48bb1b3390
d7DGGcjeSAm2eAyctiKpyQ,0b543fc4e694fe07a54dac48bb1b3390
0NMmNxqEMOZ-e0ESwzNnWw,0b543fc4e694fe07a54dac48bb1b3390
vp301h_QIwZpZc9vVpgyKA,0b543fc4e694fe07a54dac48bb1b3390
KU8lV6lf-PQiuMtj41DelA,0b543fc4e694fe07a54dac48bb1b3390
nB2N7EwLi3CLsQBWAkYUMQ,0b543fc4e694fe07a54dac48bb1b3390
KQzB63AKTgkefcZxQpNOTw,0b543fc4e694fe07a54dac48bb1b3390
a3RG4bP4Wun-NgrH1uZZhw,0b543fc4e694fe07a54dac48bb1b3390
e5NQnrKrFmU_OivObaC7UQ,0b543fc4e694fe07a54dac48bb1b3390
o63UdqhhzA17XtyC-X4O8w,0b543fc4e694fe07a54dac48bb1b3390
kMh5p2iQ-6Z6RbmrBivraA,0b543fc4e694fe07a54dac48bb1b3390
4ZIpwrNr51oi30D8R6072Q,0b543fc4e694fe07a54dac48bb1b3390
c2_wO8jC9BSWnX5onAriOQ,0b543fc4e694fe07a54dac48bb1b3390
e7rKQdWlynQpm5NFukEdsQ,0b543fc4e694fe07a54dac48bb1b3390
KUAsPjpy2pQcItMofwo2lw,0b543fc4e694fe07a54dac48bb1b3390
sQ0fBSttmA3-LNxAaFwZTg,0b543fc4e694fe07a54dac48bb1b3390
kMg9vBlpJ9e_wcU7e1yHZQ,0b543fc4e694fe07a54dac48bb1b3390
_-eV3VGH9_1dQ1acbHdtcA,0b543fc4e694fe07a54dac48bb1b3390
I0rBB5rK5Ow-qtsHUEmgeg,0b543fc4e694fe07a54dac48bb1b3390
r9P-Laza7Th9CnCDWvuaSA,0b543fc4e694fe07a54dac48bb1b3390
eOVTyiE-GMfG1NdG_-Z4Zg,0b543fc4e694fe07a54dac48bb1b3390
YtUuz38Sqhg0kDM9WunRIw,0b543fc4e694fe07a54dac48bb1b3390
AUAF4JbMmeUzUxrdfxBZhQ,0b543fc4e694fe07a54dac48bb1b3390
soc2BgJ5g2o5DtEKafyhgQ,0b543fc4e694fe07a54dac48bb1b3390
LHr4sVDp8tCnL_bkQxdUQw,0b543fc4e694fe07a54dac48bb1b3390
7I3zpAtJg9La5CsqjM8d3Q,0b543fc4e694fe07a54dac48bb1b3390
wDmBNugSnKZDDUeYm7dA1Q,0b543fc4e694fe07a54dac48bb1b3390
0fGh_lANUDc93j0zQydZMg,0b543fc4e694fe07a54dac48bb1b3390
paSPh_JP5D_EC3uwMVPpwg,0b543fc4e694fe07a54dac48bb1b3390
wWJuMUz3pWL9OVfGD30vaA,0b543fc4e694fe07a54dac48bb1b3390
cA_W0XQcTsYZUwOXlGj48A,6b1622540fe5c85d365754dd8c20bf0c
kps_seTW758-4BPga_X68w,6b1622540fe5c85d365754dd8c20bf0c
nV6nLxww8P3xAshYZmalZA,6b1622540fe5c85d365754dd8c20bf0c
iPlWTqPac_B9qpS0Y_AhcQ,6b1622540fe5c85d365754dd8c20bf0c
jKpHTUzCoXBFjdg8PMCsVA,6b1622540fe5c85d365754dd8c20bf0c
ulsLlVcGvuLOSN0n3bR2zg,6b1622540fe5c85d365754dd8c20bf0c
2ACWJP0YGyKhpU8vMUWPBg,6b1622540fe5c85d365754dd8c20bf0c
7EKeO01Wmal-9tLqVUXUvA,6b1622540fe5c85d365754dd8c20bf0c
9k97YeY5BAr76bI5N1HKJA,6b1622540fe5c85d365754dd8c20bf0c
Vtmuv3UZsUDr7q1JIngzLg,6b1622540fe5c85d365754dd8c20bf0c
qX3N-KukDJOU4hfb-dfvbA,6b1622540fe5c85d365754dd8c20bf0c
je53sE7RTFj9Nix0aatH3g,6b1622540fe5c85d365754dd8c20bf0c
5lAYuU0vMEkYXMgSBUnDcw,6b1622540fe5c85d365754dd8c20bf0c
-3jnPOLStOTqf7pF_4mKRg,6b1622540fe5c85d365754dd8c20bf0c
6wzztDGSDViDWp27tBGoSQ,6b1622540fe5c85d365754dd8c20bf0c
GdAij7JCPWDfy0Z50m-TIA,6b1622540fe5c85d365754dd8c20bf0c
QrmiSkUQeW2MjeNixp0blA,6b1622540fe5c85d365754dd8c20bf0c
gla7RuGJHuJ5xV8Nt-zVzQ,6b1622540fe5c85d365754dd8c20bf0c
Ma2vzb0TaS5kYslDwE2D2w,6b1622540fe5c85d365754dd8c20bf0c
wfHsRTzfpQXAZtz6lhHLtg,6b1622540fe5c85d365754dd8c20bf0c
Wvzy3EHqvgFw4vixKirsAg,6b1622540fe5c85d365754dd8c20bf0c
2AGNvq-2neVmqyGq9_Vmnw,ebc551adb0fc1a684f4080e4954a9ba4
psIbeHKmHygG_XVBuEv7qQ,ebc551adb0fc1a684f4080e4954a9ba4
TZFzuM0bq0yCfyipTxXCYQ,ebc551adb0fc1a684f4080e4954a9ba4
ZOu3gVwRIV9T20f56yyVCw,ebc551adb0fc1a684f4080e4954a9ba4
lCp-kUjIyexSjTph6P2L2Q,ebc551adb0fc1a684f4080e4954a9ba4
aDx0sjQpEq2--ENk5vw0aQ,ebc551adb0fc1a684f4080e4954a9ba4
rcGTDmh60fbuiI5wG4NbTA,ebc551adb0fc1a684f4080e4954a9ba4
90Mh5BxmRthFFFhfapb2Og,ebc551adb0fc1a684f4080e4954a9ba4
u2mD3F_-7D5jcqreAQ1d1A,ebc551adb0fc1a684f4080e4954a9ba4
vi9OG-2KBsAQYjybvIJvoA,ebc551adb0fc1a684f4080e4954a9ba4
gpsha2OUsHpQHSXO5SRVKw,ebc551adb0fc1a684f4080e4954a9ba4
ioTETSXgFmHQjBfqJjwc_Q,ebc551adb0fc1a684f4080e4954a9ba4
