,Unnamed: 0,Station ID,Station Name,latitude,longitude
127,127,012d3e06901cc222b1c2cf0a2ace3a29,0248 St George & Broadway,49.262321,-123.09306
128,128,a6455af6b689bcbad07ae2c8a3419b50,0249 7th & Woodland,49.264251,-123.073853
129,129,475627e149c1a6ba73caac8d8d2fa617,0250 Woodland & 4th,49.266751,-123.073501
130,130,f387ec226c432c5c054e3d3616d90501,0252 Woodland & Graveley,49.270684,-123.073562
131,131,1675a77b9af656faf527b4e6de53e63b,0253 Charles & Woodland,49.2731,-123.0732
132,132,1bca0e944a4faf170db82793414b03ab,0255 18th & Main,49.254667,-123.101389
133,133,d0782213f003ce9eb276fbceff44f1f4,0256 Prince Edward & 16th,49.256694,-123.096579
134,134,1ef01f2f89621d51afbabaa6296e55be,0257 Prince Edward & 14th,49.258352,-123.096337
135,135,c47a1f62ea461ce1c9f3e2478c657df6,0258 13th & St George,49.258817,-123.092797
136,136,0cee06d7d10f7d3162cea03d22b7beed,0260 10th & Fraser,49.26151,-123.089413
137,137,f62bc2bfe9a0a563d5b6745ce6d962ba,0261 8th & Fraser,49.263382,-123.088837
138,138,1c8f7fd6535db12cc45cfc59aa9da058,0265 St Catherines & 10th,49.261353,-123.085333
139,139,17a3320a52bcc62161908967f8a06613,0266 St Catherines & 7th,49.264466,-123.085183
140,140,aed214941445e0345aa3254805a9e8b8,0272 Pender & Victoria,49.280197,-123.065859
141,141,d67640af1b3b3b3ce47169dbc9182470,0273 Victoria & 4th,49.266725,-123.065925
142,142,b2c6aaf2b4fa8937bfe3941c038683aa,0274 Victoria & 10th,49.261188,-123.066009
143,143,0a43242bee10cd33f539af2c1bf5ecbf,0278 15th & Victoria (Trout Lake),49.256857,-123.065646
144,144,198810b9b0af5d229d1b6fa12c620e06,0280 Triumph & Victoria,49.283986,-123.065264
145,145,d02e2eaafda91425eddd24d8acd328ab,0281 Windsor & 14th,49.257985,-123.083366
146,146,08c7a90bf297fde8c1f1156db13987d4,0282 14th & Fraser,49.257939,-123.089531
147,147,97005696a3dff3366a8410b817388990,0283 15th & Knight,49.256496,-123.075426
148,148,c52e51e3288a00993bdf892fdc2c2c2c,0285 Commercial & Pandora,49.283236,-123.070443
149,149,7d231a181d21056e4ba80c4d9939fe92,0287 Carolina & Great Northern Way,49.267266,-123.090786
150,150,dcf3d5c9f1b3a46f0ef2eb2247931f89,0297 6th & Prince Edward,49.265242,-123.095577
151,151,9bee3167f10c884044cea0d36afcd1ef,0298 6th & Carolina,49.265213,-123.090785
152,152,45a4c865db23e1cad0209afa5a799de0,0103 Stanley Park - Third Beach Parking Lot,49.302577,-123.155616
153,153,fe0c57d04d6e682d284d501446095fc9,0212 Union & Dunlevy,49.277595,-123.09583
154,154,b10d422b045805f1c350c47c983381e8,0228 Keefer & Hawks,49.279235,-123.087528
155,155,4e8fdc99e77ba1b70d90e124a704d0c1,0219 Hawks & Union,49.277333,-123.087359
156,156,b562f08327af465e4531e20226789489,0235 Charles & Commercial,49.273103,-123.069892
157,157,4ac99b928a91d8ccb785c9d0b805adb6,0186 10th & Kingsway,49.261973,-123.09725
158,158,99c81f71db35911c79a86a1c5edc5604,0045 Beach & Hornby,49.275295,-123.132585
159,159,e12234b6f1299d178f34bffaca92f043,0002 Burrard Station (Melville & Dunsmuir),49.285871,-123.12105
160,160,5a34495280727a5b50b9aa41e14e9a16,0300 Bute & Barclay,49.284893,-123.128685
161,161,9130f9aa3bb037a04c17e6f2630327e5,0170 8th & Yukon,49.263962,-123.112621
162,162,9a48ca226f82f52d02707b054ebc7e9e,0215 Princess & Union,49.277615,-123.091654
163,163,b3bb9f58d3530d33a1a09b6be9e973e0,0012 Dunsmuir & Richards,49.282214,-123.114101
164,164,c2f4e05c01ea0d27934ac7dbc50cbd0c,0198 5th & Main,49.266456,-123.100324
165,165,9a5478470b56379c31cf4e671584d5cc,0119 3rd & Quebec,49.268216,-123.103168
166,166,257715b845828e027ff35dd0f11c971e,0124 Richards & Cordova,49.284554,-123.111031
167,167,910027847876403b57f1013c16504688,0129 Richards & Robson,49.280216,-123.117639
168,168,06487275cd19694152824c7c3088e8ff,0006 Olympic Village Station,49.266314,-123.116011
169,169,b428c0e64d9b9fdb3bf8e85c95ffdf6b,0227 Campbell & Hastings,49.280852,-123.084746
170,170,d085c6749a32517e1fb0d070e4128402,0040 Cardero & Davie,49.285512,-123.1384
171,171,a6aec7b8c25da4c02829cd7839b8933d,0083 Aquatic Centre,49.27821,-123.136972
172,172,c924f6a41b130fad49cfae47271314bc,0084 Beach & Broughton,49.281301,-123.139108
173,173,8e93d0da1ee6caadf21ed9575b5fa9da,0142 Beach & Cardero,49.283298,-123.142288
174,174,9413725a5d3bb5ce2ad0682b07a3ffab,0305 Georgia & Homer,49.280787,-123.115271
175,175,7ed043a19e6a4ece742fe747b663bdbf,0165 Columbia & 5th,49.266476,-123.109389
176,176,ce5dccf5a0f190bb4567a2fd93e7971e,0122 Haro & Denman,49.290587,-123.13625
177,177,844aa75af0d3235a86ff827c81395afd,0100 Stanley Park - Prospect Point,49.312568,-123.144177
178,178,1d442ad1a71774c82688a45954e47bfd,0075 Arbutus & 10th,49.262835,-123.152626
179,179,2781435bde344e1b64f1bebac6bc9008,0133 Ontario & 16th,49.256825,-123.105234
180,180,e9b37f2d9b7b2e2e3ade73f13acb69b2,0082 Richards & Davie,49.275683,-123.124388
181,181,fffd87607aaae16fbb1f71615cbe7d17,0262 8th & Prince Edward,49.263518,-123.09568
182,182,da8b6e94f90ad41a3f8de10596992372,0310 Jervis & Robson,49.28691,-123.128818
183,183,32f70f7ae14ba87523c6286a6c4d5c37,0217 Smithe & Burrard,49.282503,-123.124697
184,184,df5ab349a7a85d4b10da4cc3ec65c607,0087 Broughton & Davie,49.283749,-123.136133
185,185,e0318460138ffbf4692005d5b5a9f900,0068 Cypress & 10th,49.262944,-123.148109
186,186,db51c556fe50ec1deefbc9697c70cb51,0189 Granville Island,49.27029,-123.135025
187,187,58a026f0c506caec20697a4f90538450,0225 McLean & Pender,49.280427,-123.074082
188,188,0e0aef6fabaa808b3a3cef24657257a4,0058 Richards & Smithe,49.279259,-123.119145
189,189,90c746df94ce1a12f1f617acfe4a8ce3,0036 Bute & Robson,49.285836,-123.127265
190,190,80b5c12ef21fd47275d37b2c9935249c,0460 Trafalgar & Cornwall,49.272969,-123.164325
191,191,899f59a9994302e8e1e4be01117ef707,0410 Alma & Point Grey,49.27247,-123.185643
192,192,8d2d5bb3b9142f781f2a7f441e6bad7a,0440 Point Grey & Blenheim,49.271471,-123.17731
193,193,5de0fe55497681d4cc9dd25509cf51ab,0035 Hastings & Broughton,49.290112,-123.127062
194,194,2681455ba2d97283998a806b14d3e95c,0484 Yew & Broadway,49.263523,-123.155267
195,195,064a7b39b1dbc4bfc4cf8f454e360c57,0452 8th & Macdonald,49.264928,-123.168068
196,196,9c1397c06e07bf74fc049f1a0872eea0,0444 Balaclava & Broadway,49.264483,-123.173926
197,197,c64ee19c62a363019ddbaedf71df2882,0254 Grandview & Commercial,49.263746,-123.069892
198,198,421516af381a11f54d07fc79be68d3d3,0202 14th & Oak,49.258761,-123.127071
199,199,38f045e3f43f86eae42ca4c60257ade0,0401 Wallace & 4th,49.268974,-123.190701
200,200,5ba6e9725b1b0ee8cd25df976e47726b,0470 Balsam & Cornwall,49.273011,-123.159663
201,201,f90ed7ad754ec04b7852941a480a4c77,0443 Balaclava & 6th,49.266924,-123.173849
202,202,abfaf72456a4828a22f5bf60d3a80777,0464 Trafalgar & Broadway,49.264326,-123.164725
203,203,2ff7eb4230654603592ab1b0780ec5e1,0414 Dunbar & 6th,49.266636,-123.183661
204,204,ea9485fcdce0611243474d000e4ad248,0531 18th & Cambie,49.254818,-123.114785
205,205,671ce9e4a92063620f772d2c57f0f3ab,0431 Blenheim & 4th,49.268837,-123.177633
206,206,41a55a7e2908fbbd65175b794d26bc8d,0511 18th & Heather,49.255034,-123.120226
207,207,a59924f0ff3fb481a7bd8a5e9c36858f,0450 Point Grey & Bayswater,49.271044,-123.170661
208,208,89a0b49a66e54a7639ad960962148a3e,0561 20th & Main,49.252691,-123.101289
209,209,44fc3d58831a9f2b919c7a3a1838b74a,0354 Station & Terminal,49.272172,-123.097978
210,210,d40db8c27c5bd409d57cfa846f73c378,0400 Jericho Beach,49.271082,-123.191458
211,211,4990fe5772f3b73eebeec125b41e478e,0089 Burrard & Drake,49.27808,-123.130557
212,212,bf96df77771ef0ed710d8e0e67917f45,0173 Columbia & 1st,49.269969,-123.109623
213,213,e75e83499d3fa2e174dc2a8ffd238119,0028 Davie & Beach,49.287528,-123.142139
214,214,0438114d2e6b96118de69bc9775bb21e,0031 Morton & Denman,49.28803,-123.142135
215,215,07b13214cb69f2ec007d888450f3d6bc,0311 13th & Cambie,49.259579,-123.114769
216,216,f5e8fa1fc4252bda2f93dd27ed2d603f,0313 Nelson & Denman,49.28907059898648,-123.13840736946824
217,217,c2a9c5d0e4578b928554c86f3d2c1162,0190 Melville & Bute,49.287782,-123.12395
218,218,5f45325fdd6334a4c0d3b62853b19fa6,0308 Seymour & Cordova,49.28512,-123.11242
219,219,085a0e120a08a80a58c0ae0ff9da565a,0480 Arbutus & Nanton,49.247854,-123.153422
220,220,8d5f47f01d7ad668419dfe9b7fe69c9a,0171 Yukon & 6th,49.265939,-123.1129
221,221,bede4b24dae115d4cd43d2e6cc9812cb,0179 11th & Kingsway,49.261122,-123.097571
222,222,680b1ddfd50c4397b365c9c00f09b0d1,0144 Wylie & 2nd,49.267725,-123.11311
223,223,b26f83e904f3a778466ebcd763b7316a,0526 29th & Cambie,49.245135,-123.116098
224,224,6620c54bd6b3a79800b2b67e999b24d0,0314 Rolston & Granville,49.274232,-123.129998
225,225,7f091b50fbbd892bf9fb869a64c47120,0482 East Blvd & 37th,49.238105,-123.154966
